"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\alojamiento.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\analisis.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\atraccion-turistica.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\atraccion-turistica2.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\avion.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\calendario.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\calendarioListPayment.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\camaListOffers.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW2\Proyecto Final\frontend-p2w2\src\assets\cerrar-sesion.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
